NONE,832520 is the OTP for trxn of INR 246.00 at ULTRACASH TECHNOLOGIES PV with your SBI Card ending 3854. OTP is valid for 10 mins only. Pls do not share with anyone.
DEBIT,Txn of Rs.246.00 made on SBI Card XX3854 at ULTRACASH TECHNOLOGIES on 12-01-16 has been declined due to incorrect CVV. Please re-attempt with the correct CVV.
NONE,378995 is the OTP for trxn of INR 246.00 at ULTRACASH TECHNOLOGIES PV with your SBI Card ending 3854. OTP is valid for 10 mins only. Pls do not share with anyone.
NONE,You will receive your IVR One Time Password (OTP) shortly if you have not already received the same.
NONE,Please use 510736 as OTP for IVR authentication for your SBI Card no. xxxx3854. Valid for 30 mins & one time use only. Do not share OTP with anyone.
NONE,OTP 3854
NONE,Please beware of spurious calls offering attractive reward and bonus on your insurance policy from individuals posing as IRDAI or other companies. For details visit at www.edelweisstokio.in. Happy to assist you at 1800 2121 212!!
NONE,"Your Amex Gold Card has been credited with 1000 MR Points in JAN,2016. Continue getting 1000 MR points by using your card 4 times in a month for transactions above Rs1000. T&Cs apply"
NONE,Thank you for using State Bank Internet banking. Your Transaction Ref No ITG1980935 for Rs.2200 on 12-JAN-16 13:14
NONE,"21,000 Poura Karmikas collect garbage from 23 lakh households every day. Ensure your house is one among them. Together let's keep Bangalore clean. ACT & BBMP."
NONE,"Avbl Bal as on 12-Jan-2016 11:12:22 in your A/C. No.XX6515 is INR 36,130.07, Tot. avbl bal (including linked deposits and Limit) is INR 36,130.07."
NONE,Bill of Rs 898 dated 27-DEC-15 for your airtel mobile 9060564940 is due on 14-JAN-16. Please pay on time to avoid late fee! Payment options: a)myairtel app b)visit www.airtel.in c)ARC details-SMS ARC <pincode> to 121.Pls ignore if already paid. 
NONE,"Dear Customer, the payment of Rs.13,150.98 for AMEX Card **********11002 is due by 15/01/2016. Please ignore if already paid."
NONE,HPGas Refill booking 536435 for 661443 Booking Cleared till04.Jan.2016 at MARUTHI GAS CO. Join Nation building to Giveup subsidy SMS GIVEITUP to 9766899899
NONE,"Available Balance in your Account XXXXX958738 as on 11/01/16 is INR 3,207.37"
NONE,"Drive Quick & Safe, by booking a cab from trusted service with comfort and reasonable fare. MM CABS For further details call- 08032329998 - 08069993999"
DEBIT,A charge of INR 275.00 has been initiated on your American Express Card No. ***11002 at AMAZON SELLER SERVICES PRIVATE LTD-PG on 11/01/2016 at 07:04AM IST.
NONE,"Segregate your dry & wet waste. Give your waste to Poura Karmikas instead of dumping it on street corners. You, ACT & BBMP -Together let's keep Bangalore clean"
NONE,Mega Sunday Offer. Flat 50% Off on Lifestyle products at www.Landmarkshops.in only for today. Shop Now! TnC. To opt out call +918039275834
